target_idx,train_idx,rank
0,179,0
0,255,1
0,241,2
0,250,3
0,280,4
1,15,0
1,25,1
1,89,2
1,139,3
1,186,4
2,122,0
2,101,1
2,205,2
2,8,3
2,73,4
3,16,0
3,153,1
3,162,2
3,233,3
3,20,4
4,291,0
4,166,1
4,31,2
4,49,3
4,68,4
5,15,0
5,25,1
5,89,2
5,139,3
5,186,4
6,176,0
6,243,1
6,165,2
6,46,3
6,58,4
7,214,0
7,184,1
7,198,2
7,17,3
7,168,4
8,18,0
8,221,1
8,96,2
8,30,3
8,154,4
9,176,0
9,58,1
9,34,2
9,115,3
9,243,4
10,199,0
10,24,1
10,231,2
10,284,3
10,27,4
11,189,0
11,13,1
11,91,2
11,267,3
11,212,4
12,281,0
12,204,1
12,81,2
12,29,3
12,214,4
13,225,0
13,63,1
13,277,2
13,246,3
13,31,4
14,135,0
14,59,1
14,274,2
14,224,3
14,180,4
15,91,0
15,212,1
15,174,2
15,13,3
15,69,4
16,15,0
16,25,1
16,89,2
16,139,3
16,186,4
17,127,0
17,182,1
17,262,2
17,219,3
17,264,4
18,214,0
18,184,1
18,198,2
18,17,3
18,168,4
19,157,0
19,191,1
19,48,2
19,142,3
19,208,4
20,16,0
20,226,1
20,19,2
20,153,3
20,22,4
21,31,0
21,49,1
21,68,2
21,124,3
21,137,4
22,83,0
22,95,1
22,184,2
22,17,3
22,168,4
23,167,0
23,56,1
23,75,2
23,215,3
23,40,4
24,160,0
24,253,1
24,4,2
24,23,3
24,132,4
25,179,0
25,82,1
25,255,2
25,287,3
25,285,4
26,18,0
26,221,1
26,96,2
26,30,3
26,154,4
27,52,0
27,183,1
27,267,2
27,154,3
27,62,4
28,261,0
28,237,1
28,77,2
28,202,3
28,92,4
29,199,0
29,24,1
29,231,2
29,284,3
29,125,4
30,122,0
30,205,1
30,101,2
30,196,3
30,8,4
31,197,0
31,26,1
31,222,2
31,180,3
31,130,4
32,33,0
32,236,1
32,94,2
32,161,3
32,258,4
33,179,0
33,241,1
33,250,2
33,280,3
33,252,4
34,11,0
34,13,1
34,91,2
34,270,3
34,69,4
35,87,0
35,145,1
35,202,2
35,195,3
35,70,4
36,157,0
36,208,1
36,191,2
36,142,3
36,48,4
37,81,0
37,281,1
37,234,2
37,10,3
37,204,4
38,2,0
38,88,1
38,30,2
38,131,3
38,102,4
39,208,0
39,157,1
39,244,2
39,191,3
39,48,4
40,256,0
40,44,1
40,175,2
40,263,3
40,50,4
41,21,0
41,26,1
41,222,2
41,130,3
41,180,4
42,15,0
42,25,1
42,89,2
42,139,3
42,186,4
43,132,0
43,185,1
43,190,2
43,160,3
43,100,4
44,196,0
44,122,1
44,177,2
44,205,3
44,52,4
45,199,0
45,14,1
45,254,2
45,24,3
45,231,4
46,164,0
46,241,1
46,179,2
46,79,3
46,250,4
47,170,0
47,50,1
47,18,2
47,221,3
47,74,4
48,204,0
48,14,1
48,234,2
48,16,3
48,10,4
49,31,0
49,49,1
49,68,2
49,124,3
49,137,4
50,5,0
50,51,1
50,106,2
50,181,3
50,31,4
51,260,0
51,43,1
51,175,2
51,263,3
51,122,4
52,196,0
52,52,1
52,177,2
52,239,3
52,183,4
53,86,0
53,281,1
53,234,2
53,81,3
53,10,4
54,214,0
54,184,1
54,198,2
54,17,3
54,168,4
55,15,0
55,25,1
55,89,2
55,139,3
55,186,4
56,180,0
56,38,1
56,197,2
56,26,3
56,37,4
57,58,0
57,34,1
57,165,2
57,115,3
57,176,4
58,214,0
58,184,1
58,198,2
58,17,3
58,168,4
59,101,0
59,8,1
59,149,2
59,73,3
59,133,4
60,157,0
60,191,1
60,142,2
60,208,3
60,48,4
61,136,0
61,7,1
61,112,2
61,268,3
61,179,4
62,199,0
62,85,1
62,173,2
62,24,3
62,231,4
63,101,0
63,8,1
63,73,2
63,133,3
63,178,4
64,253,0
64,160,1
64,4,2
64,100,3
64,138,4
65,166,0
65,265,1
65,31,2
65,49,3
65,68,4
66,50,0
66,175,1
66,263,2
66,18,3
66,221,4
67,214,0
67,184,1
67,198,2
67,17,3
67,168,4
68,260,0
68,175,1
68,263,2
68,177,3
68,43,4
69,15,0
69,25,1
69,89,2
69,139,3
69,186,4
70,9,0
70,93,1
70,111,2
70,31,3
70,49,4
71,262,0
71,219,1
71,127,2
71,182,3
71,113,4
72,170,0
72,175,1
72,263,2
72,50,3
72,256,4
