Rx-MLS,DA3-4-5-6-MLS,DA4-5-1-2-MLS,DA4-5-6-7-MLS,DA9-10-11-14-MLS,DA9-10-11-12-MLS,DA1-5-6-7-MLS,DA1-12-11-14-MLS,DA1-5-4-20-MLS,DA6-5-4-20-MLS,BA1-2-3-MLS,BA3-4-20-MLS,BA1-5-4-MLS,BA5-4-20-MLS,BA5-6-7-MLS,BA7-6-22-MLS,BA10-11-12-MLS,BA10-11-14-MLS,BA1-12-11-MLS,BA5-1-12-MLS,NB1-12-MLS,NB7-12-MLS,BL1-2-MLS,BL5-6-MLS,BL6-7-MLS,BL11-12-MLS,BL4-20-MLS,BL4-19-MLS,BL6-22-MLS,BL10-15-MLS,HOMO-MLS,LUMO-MLS,DM-MLS,q1-MLS,q2-MLS,q3-MLS,q4-MLS,q5-MLS,q6-MLS,q7-MLS,q8-MLS,q9-MLS,q10-MLS,q11-MLS,q12-MLS,q13-MLS,q14-MLS,q15-MLS,q19-MLS,q20-MLS,q22-MLS,NMR1-MLS,NMR2-MLS,NMR3-MLS,NMR4-MLS,NMR5-MLS,NMR6-MLS,NMR7-MLS,NMR8-MLS,NMR9-MLS,NMR10-MLS,NMR11-MLS,NMR12-MLS,NMR13-MLS,NMR14-MLS,NMR15-MLS,NMR19-MLS,NMR20-MLS,NMR22-MLS,L-R14-MLS,B1-R14-MLS,B5-R14-MLS,L-R15-MLS,B1-R15-MLS,B5-R15-MLS,VF(C6=O7)-MLS,VI(C6=O7)-MLS,VF(C9=O13)-MLS,VI(C9=O13)-MLS,VF(C11-H12)-MLS,VI(C11-H12)-MLS,L-Y-MLS,B1-Y-MLS,B5-Y-MLS,L-X-MLS,B1-X-MLS,B5-X-MLS,L-R16-MLS,B1-R16-MLS,B5-R16-MLS,BV-MLS,BV-SW-MLS,BV-NW-MLS,BV-NE-MLS,BV-SE-MLS,Area-MLS,Volume-MLS,PSA-MLS,Ovality-MLS,HOMO-MC,LUMO-MC,DM-MC,Rx-MC,Ry-MC,Volume-MC,PSA-MC,Ovality-MC,q(Pd)-MC,DM-CP,HOMO-CP,LUMO-CP,Rx-CP,BL1-2-CP,BL1-6-CP,BL1-7-CP,NMR1-CP,NMR2-CP,NMR6-CP,NMR7-CP,q1-CP,q2-CP,q6-CP,Area-CP,Volume-CP,PSA-CP,Ovality-CP,Rx-B,Ry-B,Rz-B,DM-B,HOMO-B,LUMO-B,Area-B,Volume-B,PSA-B,Ovality-B,q(Ag)-A,Rx-A,Ry-A,Rz-A,HOMO-A,LUMO-A,DM-A,Area-A,Volume-A,PSA-A,Ovality-A,Eqv(L),Eqv(B),Eqv(A),Time(H)   ,T (?C),DC(Solvent),%ee
0.12643,144.8063544,10.02919616,171.9545406,131.3099258,12.57496832,16.54575578,80.29425792,112.9775266,91.42592813,114.701781,112.887433,116.358678,112.8658352,121.5729217,119.012381,123.7757069,60.8563894,111.8377314,91.93023108,1.845744414,2.31698285,2.017644806,1.355950886,1.245125558,1.137854206,1.56441259,1.098283442,1.525712624,1.096192534,-0.2123,-0.08601,11.7302,0.56227,-0.50695,0.69305,-0.1198,-0.62621,0.69535,-0.69226,-0.65782,0.70269,-0.33454,-0.44132,0.22671,-0.653,0.27526,0.27912,0.28166,-0.25024,-0.77909,-507.8453,73.0898,17.3432,124.627,134.2476,23.817,-57.9699,142.0198,20.0087,148.9295,165.8598,33.6184,-68.302,28.2336,28.2499,27.7929,147.1084,169.6489,4.21,1.93,4.37,2.97,1.5,2.03,1656.13,554.6147,1723.87,"	487.1603",2576.22,"	379.236",5.46,1.7,5.3,6.37,1.56,7.34,2,1,1,34.4,4.4,45.1,57.4,30.6,538.59,517.15,46.177,1.73,-0.24249,-0.10002,0.0049,1.28323,0.50214,156.95,19.206,1.5,0.34205,2.8114,-0.23057,-0.03193,5.50041,1.39235308,1.394750009,2.162820377,61.3323,61.6498,61.6615,46.0781,-0.20514,-0.24924,-0.24945,162.69,143.03,0,1.23,4.46899,0.40537,0.37165,7.3745,-0.19401,-0.08712,96.61,66.09,40.081,1.22,0.7618,4.46899,0.40537,0.37165,-0.19401,-0.08712,7.3745,96.61,66.09,40.081,1.22,15,2,2,48,80,4.7113,94
0.12643,144.8063544,10.02919616,171.9545406,131.3099258,12.57496832,16.54575578,80.29425792,112.9775266,91.42592813,114.701781,112.887433,116.358678,112.8658352,121.5729217,119.012381,123.7757069,60.8563894,111.8377314,91.93023108,1.845744414,2.31698285,2.017644806,1.355950886,1.245125558,1.137854206,1.56441259,1.098283442,1.525712624,1.096192534,-0.2123,-0.08601,11.7302,0.56227,-0.50695,0.69305,-0.1198,-0.62621,0.69535,-0.69226,-0.65782,0.70269,-0.33454,-0.44132,0.22671,-0.653,0.27526,0.27912,0.28166,-0.25024,-0.77909,-507.8453,73.0898,17.3432,124.627,134.2476,23.817,-57.9699,142.0198,20.0087,148.9295,165.8598,33.6184,-68.302,28.2336,28.2499,27.7929,147.1084,169.6489,4.21,1.93,4.37,2.97,1.5,2.03,1656.13,554.6147,1723.87,"	487.1603",2576.22,"	379.236",5.46,1.7,5.3,6.37,1.56,7.34,2,1,1,34.4,4.4,45.1,57.4,30.6,538.59,517.15,46.177,1.73,-0.24249,-0.10002,0.0049,1.28323,0.50214,156.95,19.206,1.5,0.34205,2.2418,-0.23755,-0.03342,5.65566,1.394468317,1.394165215,2.16341566,57.4384,61.3547,61.3111,45.7239,-0.19737,-0.25465,-0.25467,142.71,124.75,0,1.18,4.46899,0.40537,0.37165,7.3745,-0.19401,-0.08712,96.61,66.09,40.081,1.22,0.7618,4.46899,0.40537,0.37165,-0.19401,-0.08712,7.3745,96.61,66.09,40.081,1.22,15,2,2,48,80,4.7113,94
0.12643,144.8063544,10.02919616,171.9545406,131.3099258,12.57496832,16.54575578,80.29425792,112.9775266,91.42592813,114.701781,112.887433,116.358678,112.8658352,121.5729217,119.012381,123.7757069,60.8563894,111.8377314,91.93023108,1.845744414,2.31698285,2.017644806,1.355950886,1.245125558,1.137854206,1.56441259,1.098283442,1.525712624,1.096192534,-0.2123,-0.08601,11.7302,0.56227,-0.50695,0.69305,-0.1198,-0.62621,0.69535,-0.69226,-0.65782,0.70269,-0.33454,-0.44132,0.22671,-0.653,0.27526,0.27912,0.28166,-0.25024,-0.77909,-507.8453,73.0898,17.3432,124.627,134.2476,23.817,-57.9699,142.0198,20.0087,148.9295,165.8598,33.6184,-68.302,28.2336,28.2499,27.7929,147.1084,169.6489,4.21,1.93,4.37,2.97,1.5,2.03,1656.13,554.6147,1723.87,"	487.1603",2576.22,"	379.236",5.46,1.7,5.3,6.37,1.56,7.34,2,1,1,34.4,4.4,45.1,57.4,30.6,538.59,517.15,46.177,1.73,-0.24249,-0.10002,0.0049,1.28323,0.50214,156.95,19.206,1.5,0.34205,3.4705,-0.21616,-0.03096,4.77099,1.390945643,1.397272895,2.160167853,69.2649,60.5541,60.8977,46.3555,-0.22726,-0.23676,-0.24215,172.53,151.88,6.942,1.25,4.46899,0.40537,0.37165,7.3745,-0.19401,-0.08712,96.61,66.09,40.081,1.22,0.7618,4.46899,0.40537,0.37165,-0.19401,-0.08712,7.3745,96.61,66.09,40.081,1.22,15,2,2,48,80,4.7113,93
0.12643,144.8063544,10.02919616,171.9545406,131.3099258,12.57496832,16.54575578,80.29425792,112.9775266,91.42592813,114.701781,112.887433,116.358678,112.8658352,121.5729217,119.012381,123.7757069,60.8563894,111.8377314,91.93023108,1.845744414,2.31698285,2.017644806,1.355950886,1.245125558,1.137854206,1.56441259,1.098283442,1.525712624,1.096192534,-0.2123,-0.08601,11.7302,0.56227,-0.50695,0.69305,-0.1198,-0.62621,0.69535,-0.69226,-0.65782,0.70269,-0.33454,-0.44132,0.22671,-0.653,0.27526,0.27912,0.28166,-0.25024,-0.77909,-507.8453,73.0898,17.3432,124.627,134.2476,23.817,-57.9699,142.0198,20.0087,148.9295,165.8598,33.6184,-68.302,28.2336,28.2499,27.7929,147.1084,169.6489,4.21,1.93,4.37,2.97,1.5,2.03,1656.13,554.6147,1723.87,"	487.1603",2576.22,"	379.236",5.46,1.7,5.3,6.37,1.56,7.34,2,1,1,34.4,4.4,45.1,57.4,30.6,538.59,517.15,46.177,1.73,-0.24249,-0.10002,0.0049,1.28323,0.50214,156.95,19.206,1.5,0.34205,0.4419,-0.23535,-0.0356,5.62944,1.395494253,1.395172666,2.157895273,64.3072,59.8006,59.7582,45.7108,-0.21882,-0.23762,-0.23766,148.41,129.32,0,1.2,4.46899,0.40537,0.37165,7.3745,-0.19401,-0.08712,96.61,66.09,40.081,1.22,0.7618,4.46899,0.40537,0.37165,-0.19401,-0.08712,7.3745,96.61,66.09,40.081,1.22,15,2,2,48,80,4.7113,94
0.12643,144.8063544,10.02919616,171.9545406,131.3099258,12.57496832,16.54575578,80.29425792,112.9775266,91.42592813,114.701781,112.887433,116.358678,112.8658352,121.5729217,119.012381,123.7757069,60.8563894,111.8377314,91.93023108,1.845744414,2.31698285,2.017644806,1.355950886,1.245125558,1.137854206,1.56441259,1.098283442,1.525712624,1.096192534,-0.2123,-0.08601,11.7302,0.56227,-0.50695,0.69305,-0.1198,-0.62621,0.69535,-0.69226,-0.65782,0.70269,-0.33454,-0.44132,0.22671,-0.653,0.27526,0.27912,0.28166,-0.25024,-0.77909,-507.8453,73.0898,17.3432,124.627,134.2476,23.817,-57.9699,142.0198,20.0087,148.9295,165.8598,33.6184,-68.302,28.2336,28.2499,27.7929,147.1084,169.6489,4.21,1.93,4.37,2.97,1.5,2.03,1656.13,554.6147,1723.87,"	487.1603",2576.22,"	379.236",5.46,1.7,5.3,6.37,1.56,7.34,2,1,1,34.4,4.4,45.1,57.4,30.6,538.59,517.15,46.177,1.73,-0.24249,-0.10002,0.0049,1.28323,0.50214,156.95,19.206,1.5,0.34205,0.3444,-0.23817,-0.0375,5.63497,1.394624806,1.394274602,2.155782521,59.1381,60.2632,60.2323,45.5121,-0.207,-0.23735,-0.2374,158.4,138.42,0,1.22,4.46899,0.40537,0.37165,7.3745,-0.19401,-0.08712,96.61,66.09,40.081,1.22,0.7618,4.46899,0.40537,0.37165,-0.19401,-0.08712,7.3745,96.61,66.09,40.081,1.22,15,2,2,48,80,4.7113,90
0.12643,144.8063544,10.02919616,171.9545406,131.3099258,12.57496832,16.54575578,80.29425792,112.9775266,91.42592813,114.701781,112.887433,116.358678,112.8658352,121.5729217,119.012381,123.7757069,60.8563894,111.8377314,91.93023108,1.845744414,2.31698285,2.017644806,1.355950886,1.245125558,1.137854206,1.56441259,1.098283442,1.525712624,1.096192534,-0.2123,-0.08601,11.7302,0.56227,-0.50695,0.69305,-0.1198,-0.62621,0.69535,-0.69226,-0.65782,0.70269,-0.33454,-0.44132,0.22671,-0.653,0.27526,0.27912,0.28166,-0.25024,-0.77909,-507.8453,73.0898,17.3432,124.627,134.2476,23.817,-57.9699,142.0198,20.0087,148.9295,165.8598,33.6184,-68.302,28.2336,28.2499,27.7929,147.1084,169.6489,4.21,1.93,4.37,2.97,1.5,2.03,1656.13,554.6147,1723.87,"	487.1603",2576.22,"	379.236",5.46,1.7,5.3,6.37,1.56,7.34,2,1,1,34.4,4.4,45.1,57.4,30.6,538.59,517.15,46.177,1.73,-0.24249,-0.10002,0.0049,1.28323,0.50214,156.95,19.206,1.5,0.34205,0.7358,-0.23977,-0.03871,5.62759,1.394359126,1.394016573,2.155128875,58.0843,59.9129,59.8695,45.4722,-0.20567,-0.23476,-0.23482,163.5,143.24,0,1.23,4.46899,0.40537,0.37165,7.3745,-0.19401,-0.08712,96.61,66.09,40.081,1.22,0.7618,4.46899,0.40537,0.37165,-0.19401,-0.08712,7.3745,96.61,66.09,40.081,1.22,15,2,2,48,80,4.7113,94
0.12643,144.8063544,10.02919616,171.9545406,131.3099258,12.57496832,16.54575578,80.29425792,112.9775266,91.42592813,114.701781,112.887433,116.358678,112.8658352,121.5729217,119.012381,123.7757069,60.8563894,111.8377314,91.93023108,1.845744414,2.31698285,2.017644806,1.355950886,1.245125558,1.137854206,1.56441259,1.098283442,1.525712624,1.096192534,-0.2123,-0.08601,11.7302,0.56227,-0.50695,0.69305,-0.1198,-0.62621,0.69535,-0.69226,-0.65782,0.70269,-0.33454,-0.44132,0.22671,-0.653,0.27526,0.27912,0.28166,-0.25024,-0.77909,-507.8453,73.0898,17.3432,124.627,134.2476,23.817,-57.9699,142.0198,20.0087,148.9295,165.8598,33.6184,-68.302,28.2336,28.2499,27.7929,147.1084,169.6489,4.21,1.93,4.37,2.97,1.5,2.03,1656.13,554.6147,1723.87,"	487.1603",2576.22,"	379.236",5.46,1.7,5.3,6.37,1.56,7.34,2,1,1,34.4,4.4,45.1,57.4,30.6,538.59,517.15,46.177,1.73,-0.24249,-0.10002,0.0049,1.28323,0.50214,156.95,19.206,1.5,0.34205,1.128,-0.24717,-0.0384,2.81592,1.39389687,1.396257229,2.155114041,52.6552,61.0996,60.4824,45.1036,-0.19187,-0.24361,-0.24334,178.36,156.76,0,1.27,4.46899,0.40537,0.37165,7.3745,-0.19401,-0.08712,96.61,66.09,40.081,1.22,0.7618,4.46899,0.40537,0.37165,-0.19401,-0.08712,7.3745,96.61,66.09,40.081,1.22,15,2,2,48,80,4.7113,93
0.12643,144.8063544,10.02919616,171.9545406,131.3099258,12.57496832,16.54575578,80.29425792,112.9775266,91.42592813,114.701781,112.887433,116.358678,112.8658352,121.5729217,119.012381,123.7757069,60.8563894,111.8377314,91.93023108,1.845744414,2.31698285,2.017644806,1.355950886,1.245125558,1.137854206,1.56441259,1.098283442,1.525712624,1.096192534,-0.2123,-0.08601,11.7302,0.56227,-0.50695,0.69305,-0.1198,-0.62621,0.69535,-0.69226,-0.65782,0.70269,-0.33454,-0.44132,0.22671,-0.653,0.27526,0.27912,0.28166,-0.25024,-0.77909,-507.8453,73.0898,17.3432,124.627,134.2476,23.817,-57.9699,142.0198,20.0087,148.9295,165.8598,33.6184,-68.302,28.2336,28.2499,27.7929,147.1084,169.6489,4.21,1.93,4.37,2.97,1.5,2.03,1656.13,554.6147,1723.87,"	487.1603",2576.22,"	379.236",5.46,1.7,5.3,6.37,1.56,7.34,2,1,1,34.4,4.4,45.1,57.4,30.6,538.59,517.15,46.177,1.73,-0.24249,-0.10002,0.0049,1.28323,0.50214,156.95,19.206,1.5,0.34205,2.9143,-0.24364,-0.05882,3.6634,1.394615623,1.396727422,2.155017264,49.9777,61.1436,60.7322,45.2012,-0.1843,-0.25257,-0.25202,183.58,163.65,14.398,1.27,4.46899,0.40537,0.37165,7.3745,-0.19401,-0.08712,96.61,66.09,40.081,1.22,0.7618,4.46899,0.40537,0.37165,-0.19401,-0.08712,7.3745,96.61,66.09,40.081,1.22,15,2,2,48,80,4.7113,94
0.12643,144.8063544,10.02919616,171.9545406,131.3099258,12.57496832,16.54575578,80.29425792,112.9775266,91.42592813,114.701781,112.887433,116.358678,112.8658352,121.5729217,119.012381,123.7757069,60.8563894,111.8377314,91.93023108,1.845744414,2.31698285,2.017644806,1.355950886,1.245125558,1.137854206,1.56441259,1.098283442,1.525712624,1.096192534,-0.2123,-0.08601,11.7302,0.56227,-0.50695,0.69305,-0.1198,-0.62621,0.69535,-0.69226,-0.65782,0.70269,-0.33454,-0.44132,0.22671,-0.653,0.27526,0.27912,0.28166,-0.25024,-0.77909,-507.8453,73.0898,17.3432,124.627,134.2476,23.817,-57.9699,142.0198,20.0087,148.9295,165.8598,33.6184,-68.302,28.2336,28.2499,27.7929,147.1084,169.6489,4.21,1.93,4.37,2.97,1.5,2.03,1656.13,554.6147,1723.87,"	487.1603",2576.22,"	379.236",5.46,1.7,5.3,6.37,1.56,7.34,2,1,1,34.4,4.4,45.1,57.4,30.6,538.59,517.15,46.177,1.73,-0.24249,-0.10002,0.0049,1.28323,0.50214,156.95,19.206,1.5,0.34205,3.9102,-0.25406,-0.09382,3.94723,1.397448942,1.397106937,2.147642339,45.7921,59.938,59.8898,44.4926,-0.18404,-0.24198,-0.24206,168.18,146.18,38.95,1.25,4.46899,0.40537,0.37165,7.3745,-0.19401,-0.08712,96.61,66.09,40.081,1.22,0.7618,4.46899,0.40537,0.37165,-0.19401,-0.08712,7.3745,96.61,66.09,40.081,1.22,15,2,2,48,80,4.7113,92
0.12643,144.8063544,10.02919616,171.9545406,131.3099258,12.57496832,16.54575578,80.29425792,112.9775266,91.42592813,114.701781,112.887433,116.358678,112.8658352,121.5729217,119.012381,123.7757069,60.8563894,111.8377314,91.93023108,1.845744414,2.31698285,2.017644806,1.355950886,1.245125558,1.137854206,1.56441259,1.098283442,1.525712624,1.096192534,-0.2123,-0.08601,11.7302,0.56227,-0.50695,0.69305,-0.1198,-0.62621,0.69535,-0.69226,-0.65782,0.70269,-0.33454,-0.44132,0.22671,-0.653,0.27526,0.27912,0.28166,-0.25024,-0.77909,-507.8453,73.0898,17.3432,124.627,134.2476,23.817,-57.9699,142.0198,20.0087,148.9295,165.8598,33.6184,-68.302,28.2336,28.2499,27.7929,147.1084,169.6489,4.21,1.93,4.37,2.97,1.5,2.03,1656.13,554.6147,1723.87,"	487.1603",2576.22,"	379.236",5.46,1.7,5.3,6.37,1.56,7.34,2,1,1,34.4,4.4,45.1,57.4,30.6,538.59,517.15,46.177,1.73,-0.24249,-0.10002,0.0049,1.28323,0.50214,156.95,19.206,1.5,0.34205,3.8034,-0.2485,-0.05523,5.61316,1.396380598,1.396035234,2.151111355,49.6746,60.3776,60.3332,44.6859,-0.18719,-0.24583,-0.2459,163.53,144.24,15.386,1.23,4.46899,0.40537,0.37165,7.3745,-0.19401,-0.08712,96.61,66.09,40.081,1.22,0.7618,4.46899,0.40537,0.37165,-0.19401,-0.08712,7.3745,96.61,66.09,40.081,1.22,15,2,2,48,80,4.7113,94
