Rx-MLS,DA3-4-5-6-MLS,DA4-5-1-2-MLS,DA4-5-6-7-MLS,DA9-10-11-14-MLS,DA9-10-11-12-MLS,DA1-5-6-7-MLS,DA1-12-11-14-MLS,DA1-5-4-20-MLS,DA6-5-4-20-MLS,BA1-2-3-MLS,BA3-4-20-MLS,BA1-5-4-MLS,BA5-4-20-MLS,BA5-6-7-MLS,BA7-6-22-MLS,BA10-11-12-MLS,BA10-11-14-MLS,BA1-12-11-MLS,BA5-1-12-MLS,NB1-12-MLS,NB7-12-MLS,BL1-2-MLS,BL5-6-MLS,BL6-7-MLS,BL11-12-MLS,BL4-20-MLS,BL4-19-MLS,BL6-22-MLS,BL10-15-MLS,HOMO-MLS,LUMO-MLS,DM-MLS,q1-MLS,q2-MLS,q3-MLS,q4-MLS,q5-MLS,q6-MLS,q7-MLS,q8-MLS,q9-MLS,q10-MLS,q11-MLS,q12-MLS,q13-MLS,q14-MLS,q15-MLS,q19-MLS,q20-MLS,q22-MLS,NMR1-MLS,NMR2-MLS,NMR3-MLS,NMR4-MLS,NMR5-MLS,NMR6-MLS,NMR7-MLS,NMR8-MLS,NMR9-MLS,NMR10-MLS,NMR11-MLS,NMR12-MLS,NMR13-MLS,NMR14-MLS,NMR15-MLS,NMR19-MLS,NMR20-MLS,NMR22-MLS,L-R14-MLS,B1-R14-MLS,B5-R14-MLS,L-R15-MLS,B1-R15-MLS,B5-R15-MLS,VF(C6=O7)-MLS,VI(C6=O7)-MLS,VF(C9=O13)-MLS,VI(C9=O13)-MLS,VF(C11-H12)-MLS,VI(C11-H12)-MLS,L-Y-MLS,B1-Y-MLS,B5-Y-MLS,L-X-MLS,B1-X-MLS,B5-X-MLS,L-R16-MLS,B1-R16-MLS,B5-R16-MLS,BV-MLS,BV-SW-MLS,BV-NW-MLS,BV-NE-MLS,BV-SE-MLS,Area-MLS,Volume-MLS,PSA-MLS,Ovality-MLS,HOMO-MC,LUMO-MC,DM-MC,Rx-MC,Ry-MC,Volume-MC,PSA-MC,Ovality-MC,q(Pd)-MC,DM-CP,HOMO-CP,LUMO-CP,Rx-CP,BL1-2-CP,BL1-6-CP,BL1-7-CP,NMR1-CP,NMR2-CP,NMR6-CP,NMR7-CP,q1-CP,q2-CP,q6-CP,Area-CP,Volume-CP,PSA-CP,Ovality-CP,Rx-B,Ry-B,Rz-B,DM-B,HOMO-B,LUMO-B,Area-B,Volume-B,PSA-B,Ovality-B,q(Ag)-A,Rx-A,Ry-A,Rz-A,HOMO-A,LUMO-A,DM-A,Area-A,Volume-A,PSA-A,Ovality-A,Eqv(L),Eqv(B),Eqv(A),Time(H)   ,T (?C),DC(Solvent),%ee
0.15162,144.5904486,44.17643774,175.8319287,136.4081678,16.51872493,6.457719804,89.42193249,99.72164607,91.18615838,94.71868541,111.2673013,118.9753469,112.1434425,121.0903071,119.1706709,126.7312153,70.70678666,99.44741001,96.85388551,1.98941801,2.526639739,2.294053123,1.345207782,1.255837617,1.109842205,1.55357933,1.094366654,1.521144657,1.522790295,-0.2289,-0.1046,5.6435,0.41213,0.5521,-0.57888,-0.07734,-0.59961,0.69863,-0.73572,-0.83073,-0.26153,-0.05988,-0.52422,0.27346,0.2608,0.2866,-0.44954,0.26972,-0.2566,-0.77892,-397.2521,387.1218,137.7434,125.4685,121.0119,20.3899,-13.7525,249.3359,141.5052,161.7496,192.3267,30.2026,28.1253,31.3907,143.9745,27.6843,155.4625,168.1047,4.16,1.92,3.18,2.97,1.5,2.03,1598.45,823.872,3070.11,41.6846,2898.88,38.3023,5.97,1.7,6.26,2.94,0.84,1.93,8.4,1.5,3.68,35.9,6.7,47.6,56.8,32.7,508.05,476.74,37.487,1.72,-0.26976,-0.1405,0.1921,1.96315,0.16675,151.52,54.675,1.43,0.85378,2.4711,-0.24419,-0.0529,3.40459,1.395758783,1.395902444,2.154640103,49.4615,60.7543,60.6024,45.0972,-0.18637,-0.25297,-0.25298,162.71,143.04,0,1.23,23.88185,0.83205,0.80404,6.2924,-0.20664,-0.08014,63.41,35.37,21.123,1.22,0.59459,23.88185,0.83205,0.80404,-0.20664,-0.08014,6.2924,63.41,35.37,21.123,1.22,10,2,2,12,90,16.777,95
0.1672,144.9563092,44.21038541,175.7233781,136.2285268,16.98490661,6.348060003,89.62790612,100.0186976,90.87692696,94.50843744,111.236754,118.9406897,112.1685697,121.1442969,119.1643741,126.9334941,70.71517758,99.40696945,96.63610858,1.981686856,2.519404503,2.295678356,1.345220781,1.255749477,1.110529599,1.553590651,1.094417391,1.521133948,1.523998114,-0.22883,-0.10407,5.9666,0.41035,0.55132,-0.57894,-0.07736,-0.59964,0.69856,-0.73586,-0.83061,-0.26115,-0.05604,-0.5263,0.27368,0.26062,0.28611,-0.45706,0.26953,-0.25645,-0.77873,-395.5585,388.3403,137.636,125.6367,121.2914,20.4818,-14.4886,249.2198,141.3966,161.5088,192.5028,30.2236,28.2556,31.4236,148.5263,27.6536,155.5803,168.0752,4.16,1.92,3.18,2.97,1.5,2.03,1599.05,826.162,3070.25,38.9644,2891.26,39.0387,5.97,1.7,6.26,2.94,0.84,1.93,6.11,1.5,4.64,35.9,6.6,47.7,56.5,32.7,465.36,429.27,37.385,1.69,-0.26976,-0.1405,0.1921,1.96315,0.16675,151.52,54.675,1.43,0.85378,2.4711,-0.24419,-0.0529,3.40459,1.395758783,1.395902444,2.154640103,49.4615,60.7543,60.6024,45.0972,-0.18637,-0.25297,-0.25298,162.71,143.04,0,1.23,23.88185,0.83205,0.80404,6.2924,-0.20664,-0.08014,63.41,35.37,21.123,1.22,0.59459,23.88185,0.83205,0.80404,-0.20664,-0.08014,6.2924,63.41,35.37,21.123,1.22,10,2,2,12,90,16.777,94
0.16092,144.5458274,44.12787513,175.6902552,136.2814841,16.8160597,6.685796782,89.49492717,100.0279189,91.26885889,94.59088625,111.2718969,119.0051206,112.1288644,121.0978685,119.1635253,126.8972616,70.70682233,99.3875502,96.65535942,1.987450394,2.524694591,2.295124401,1.345092766,1.255901675,1.110058675,1.553531971,1.094383001,1.521112451,1.524028905,-0.2288,-0.10414,5.9495,0.41174,0.55107,-0.57884,-0.07735,-0.59979,0.69852,-0.73582,-0.83038,-0.26127,-0.05628,-0.52613,0.27325,0.26062,0.28581,-0.45625,0.26953,-0.25653,-0.77892,-397.1285,387.7745,137.5496,125.6401,121.2566,20.3666,-13.9566,249.3505,141.3402,161.6031,192.4989,30.241,28.2887,31.4214,148.4289,27.6605,155.4742,168.0721,4.16,1.92,3.18,2.97,1.5,2.03,1598.31,824.2595,3070.83,39.5804,2896.41,38.7064,5.97,1.7,6.26,2.94,0.84,1.93,8.15,1.5,6.18,38.8,11.3,49.5,59,35.6,506.26,466.16,37.512,1.74,-0.26976,-0.1405,0.1921,1.96315,0.16675,151.52,54.675,1.43,0.85378,2.4711,-0.24419,-0.0529,3.40459,1.395758783,1.395902444,2.154640103,49.4615,60.7543,60.6024,45.0972,-0.18637,-0.25297,-0.25298,162.71,143.04,0,1.23,23.88185,0.83205,0.80404,6.2924,-0.20664,-0.08014,63.41,35.37,21.123,1.22,0.59459,23.88185,0.83205,0.80404,-0.20664,-0.08014,6.2924,63.41,35.37,21.123,1.22,10,2,2,12,90,16.777,94
0.16645,143.0329007,46.64103053,176.7330593,136.1364114,17.77227845,3.952616494,93.26851538,94.84632911,92.43642142,95.25821664,111.4147262,118.1596619,112.1781436,121.2085266,119.3121613,127.2535402,70.56256844,101.8357381,96.61545349,1.95253702,2.519237839,2.294132937,1.344962756,1.255074425,1.112729425,1.553601456,1.094121747,1.521152626,1.524754089,-0.22911,-0.10396,6.1551,0.40699,0.55172,-0.57797,-0.07696,-0.59894,0.69892,-0.7362,-0.83077,-0.2613,-0.05541,-0.51889,0.26909,0.26001,0.28627,-0.45628,0.27096,-0.25691,-0.77906,-386.0152,385.0537,137.633,124.2245,118.7854,21.1302,-12.8265,247.3205,141.2855,162.0169,190.4919,30.3812,28.1622,31.3385,150.8891,27.6067,155.0611,168.2721,4.16,1.92,3.18,2.97,1.5,2.03,1602.97,848.8478,3071.39,43.87,2845.55,50.4473,5.97,1.7,6.26,2.94,0.84,1.93,6.34,1.5,4.72,36.2,7.3,48,57.7,31.9,481.82,447.22,36.678,1.7,-0.26976,-0.1405,0.1921,1.96315,0.16675,151.52,54.675,1.43,0.85378,2.4711,-0.24419,-0.0529,3.40459,1.395758783,1.395902444,2.154640103,49.4615,60.7543,60.6024,45.0972,-0.18637,-0.25297,-0.25298,162.71,143.04,0,1.23,23.88185,0.83205,0.80404,6.2924,-0.20664,-0.08014,63.41,35.37,21.123,1.22,0.59459,23.88185,0.83205,0.80404,-0.20664,-0.08014,6.2924,63.41,35.37,21.123,1.22,10,2,2,12,90,16.777,95
0.16989,145.378104,43.84139901,175.4286433,136.1397621,17.44465965,6.957830437,90.46277605,101.36729,90.48051725,94.16668281,111.2726177,119.0119194,112.1506769,121.1322309,119.1938116,127.2319714,70.67156576,99.79475102,96.16068865,1.968278564,2.495105717,2.297017427,1.345595287,1.255501665,1.111685159,1.55356213,1.094583721,1.520835531,1.525379766,-0.22907,-0.10395,6.0709,0.40769,0.5506,-0.57899,-0.07792,-0.59962,0.69886,-0.73518,-0.83027,-0.26147,-0.05484,-0.5262,0.27411,0.26064,0.28638,-0.46099,0.26919,-0.25628,-0.77849,-392.9166,388.4871,137.5575,125.9493,121.6757,20.497,-17.0356,249.0889,141.544,163.147,193.6111,30.2834,28.2121,31.5345,144.0325,27.6723,155.3676,168.0903,4.16,1.92,3.18,2.97,1.5,2.03,1600.4,812.121,3067.6,39.3221,2875.03,41.2671,5.97,1.7,6.26,2.94,0.84,1.93,5.1,1.5,4.51,35.8,6.7,47.8,55.8,32.8,469.29,438.25,37.189,1.68,-0.26976,-0.1405,0.1921,1.96315,0.16675,151.52,54.675,1.43,0.85378,2.4711,-0.24419,-0.0529,3.40459,1.395758783,1.395902444,2.154640103,49.4615,60.7543,60.6024,45.0972,-0.18637,-0.25297,-0.25298,162.71,143.04,0,1.23,23.88185,0.83205,0.80404,6.2924,-0.20664,-0.08014,63.41,35.37,21.123,1.22,0.59459,23.88185,0.83205,0.80404,-0.20664,-0.08014,6.2924,63.41,35.37,21.123,1.22,10,2,2,12,90,16.777,95
0.16657,145.3164685,43.86274387,175.3538444,136.0924109,17.64468162,6.88208772,90.48264633,101.3114688,90.52867419,94.16564311,111.2651762,118.9907375,112.1704308,121.1468427,119.1819111,127.2964722,70.69579532,99.73435758,96.0991704,1.966768249,2.494068347,2.297156892,1.345661505,1.255468457,1.111762514,1.553521075,1.094562575,1.520931748,1.525550871,-0.22906,-0.10383,6.1202,0.40663,0.55041,-0.57895,-0.07792,-0.59953,0.69883,-0.7347,-0.83039,-0.26128,-0.0538,-0.52637,0.27424,0.26047,0.28642,-0.45515,0.26921,-0.25628,-0.77852,-392.6676,388.7554,137.5644,125.9225,121.6193,20.5072,-17.0767,249.1232,141.5834,161.9589,192.8975,30.2245,28.1319,31.4864,145.4956,27.6668,155.3313,168.0919,4.16,1.92,3.18,2.97,1.5,2.03,1600.54,812.4997,3067.76,40.925,2874.21,41.2917,5.97,1.7,6.26,2.94,0.84,1.93,5.73,1.5,5.47,35.8,6.7,47.7,55.8,32.8,483.46,454.01,37.185,1.69,-0.26976,-0.1405,0.1921,1.96315,0.16675,151.52,54.675,1.43,0.85378,2.4711,-0.24419,-0.0529,3.40459,1.395758783,1.395902444,2.154640103,49.4615,60.7543,60.6024,45.0972,-0.18637,-0.25297,-0.25298,162.71,143.04,0,1.23,23.88185,0.83205,0.80404,6.2924,-0.20664,-0.08014,63.41,35.37,21.123,1.22,0.59459,23.88185,0.83205,0.80404,-0.20664,-0.08014,6.2924,63.41,35.37,21.123,1.22,10,2,2,12,90,16.777,95
0.16392,144.4778438,44.17790445,175.7486131,136.0835692,17.37480105,6.736431592,90.50234156,99.94521231,91.33492842,94.56252427,111.2577725,118.9736891,112.1363974,121.1387414,119.1617629,127.2554081,70.6735637,99.84077868,96.16217798,1.969178166,2.505311112,2.296336921,1.345171077,1.255835272,1.111261872,1.553589696,1.094351726,1.521120429,1.525707752,-0.22881,-0.10363,5.9609,0.40895,0.55022,-0.57882,-0.07724,-0.59935,0.69858,-0.73599,-0.82996,-0.26123,-0.05527,-0.5248,0.27338,0.26034,0.28606,-0.45487,0.2696,-0.25643,-0.77879,-392.7011,388.4183,137.5017,125.6742,121.0821,20.5044,-14.8559,249.4199,142.1331,163.5448,193.6935,30.3541,28.2065,31.5267,143.2592,27.6531,155.5651,168.1021,4.16,1.92,3.18,2.97,1.5,2.03,1599.03,822.2624,3067.74,35.1846,2881.34,39.9129,5.97,1.7,6.26,2.94,0.84,1.93,6.17,1.5,5.86,35.9,6.8,47.9,56.5,32.5,498.42,470.55,37.35,1.7,-0.26976,-0.1405,0.1921,1.96315,0.16675,151.52,54.675,1.43,0.85378,2.4711,-0.24419,-0.0529,3.40459,1.395758783,1.395902444,2.154640103,49.4615,60.7543,60.6024,45.0972,-0.18637,-0.25297,-0.25298,162.71,143.04,0,1.23,23.88185,0.83205,0.80404,6.2924,-0.20664,-0.08014,63.41,35.37,21.123,1.22,0.59459,23.88185,0.83205,0.80404,-0.20664,-0.08014,6.2924,63.41,35.37,21.123,1.22,10,2,2,12,90,16.777,96
0.1645,144.586848,44.22226921,175.7769977,136.1417724,17.18849188,6.604158664,90.6510846,99.87453332,91.23743736,94.57121245,111.248354,118.9623574,112.1419016,121.1315058,119.1775464,127.1538059,70.64332685,100.0530921,96.29519677,1.969746939,2.508294492,2.295974076,1.345214083,1.255780417,1.111154338,1.553583982,1.094350808,1.521089406,1.525387208,-0.22904,-0.10415,5.2525,0.40955,0.551,-0.5789,-0.07728,-0.59931,0.69869,-0.73577,-0.83031,-0.26138,-0.05658,-0.52343,0.27305,0.26041,0.2864,-0.45487,0.26977,-0.25643,-0.77879,-393.2468,388.0554,137.5752,125.648,121.0772,20.4834,-14.7428,249.3461,142.2584,163.9988,193.5604,30.3792,28.2121,31.5084,143.9205,27.6527,155.5923,168.1015,4.16,1.92,3.18,2.97,1.5,2.03,1599.12,822.7576,3067.15,43.5881,2882.58,40.7117,5.97,1.7,6.26,2.94,0.84,1.93,6.12,1.5,5.72,35.9,6.8,47.9,56.5,32.5,490.58,461.62,45.216,1.7,-0.26976,-0.1405,0.1921,1.96315,0.16675,151.52,54.675,1.43,0.85378,2.4711,-0.24419,-0.0529,3.40459,1.395758783,1.395902444,2.154640103,49.4615,60.7543,60.6024,45.0972,-0.18637,-0.25297,-0.25298,162.71,143.04,0,1.23,23.88185,0.83205,0.80404,6.2924,-0.20664,-0.08014,63.41,35.37,21.123,1.22,0.59459,23.88185,0.83205,0.80404,-0.20664,-0.08014,6.2924,63.41,35.37,21.123,1.22,10,2,2,12,90,16.777,97
0.16796,144.9485722,44.35901758,175.8700657,136.2147893,17.32426605,5.912954187,90.58994769,99.43557244,90.85150513,94.64342018,111.2285038,118.9141526,112.1822521,121.1674188,119.1827354,127.0032992,70.65103269,100.1476272,96.24638413,1.966858267,2.505024933,2.295933314,1.345284367,1.255640496,1.111632772,1.553586322,1.094343081,1.521082809,1.523892789,-0.22904,-0.1041,7.1852,0.40893,0.55117,-0.57877,-0.07733,-0.59898,0.69864,-0.73578,-0.83084,-0.26102,-0.05646,-0.52337,0.27248,0.26038,0.28646,-0.45647,0.26981,-0.25649,-0.77866,-392.0456,387.8166,137.5043,125.4134,120.775,20.5877,-14.7172,248.8422,141.3618,161.526,191.7333,30.299,28.2427,31.3763,149.2012,27.6463,155.5988,168.0995,4.16,1.92,3.18,2.97,1.5,2.03,1599.73,827.5885,3070,26.7322,2876.7,43.1736,5.97,1.7,6.26,2.94,0.84,1.93,6.11,1.5,5.16,35.9,6.7,47.9,56.7,32.5,470.65,434.12,37.294,1.7,-0.26976,-0.1405,0.1921,1.96315,0.16675,151.52,54.675,1.43,0.85378,2.4711,-0.24419,-0.0529,3.40459,1.395758783,1.395902444,2.154640103,49.4615,60.7543,60.6024,45.0972,-0.18637,-0.25297,-0.25298,162.71,143.04,0,1.23,23.88185,0.83205,0.80404,6.2924,-0.20664,-0.08014,63.41,35.37,21.123,1.22,0.59459,23.88185,0.83205,0.80404,-0.20664,-0.08014,6.2924,63.41,35.37,21.123,1.22,10,2,2,12,90,16.777,94
0.15375,144.7014552,44.14632603,175.7236206,136.2797659,16.67699983,6.595759455,89.4659153,100.0449214,91.1240831,94.56924744,111.2654661,118.999762,112.1324923,121.0954597,119.1785721,126.8006831,70.70863023,99.47065004,96.73520144,1.986956302,2.524039596,2.295054169,1.345146988,1.255853154,1.110091241,1.553533296,1.094395267,1.521033989,1.523845007,-0.22905,-0.10454,3.6593,0.41177,0.55162,-0.57887,-0.07738,-0.59957,0.6986,-0.73565,-0.83071,-0.26142,-0.05701,-0.52507,0.27338,0.26073,0.28619,-0.45655,0.26965,-0.25649,-0.77888,-397.1224,387.5279,137.5836,125.6279,121.2467,20.3617,-14.0807,249.3166,141.4403,161.7847,192.3686,30.2362,28.2938,31.3981,148.7483,27.6564,155.4941,168.068,4.16,1.92,3.18,2.97,1.5,2.03,1598.37,823.651,3070.33,38.4758,2896.25,39.2907,5.97,1.7,6.26,2.94,0.84,1.93,7.46,1.5,5.69,35.9,6.7,47.7,56.6,32.7,502.29,461.53,37.482,1.74,-0.26976,-0.1405,0.1921,1.96315,0.16675,151.52,54.675,1.43,0.85378,2.4711,-0.24419,-0.0529,3.40459,1.395758783,1.395902444,2.154640103,49.4615,60.7543,60.6024,45.0972,-0.18637,-0.25297,-0.25298,162.71,143.04,0,1.23,23.88185,0.83205,0.80404,6.2924,-0.20664,-0.08014,63.41,35.37,21.123,1.22,0.59459,23.88185,0.83205,0.80404,-0.20664,-0.08014,6.2924,63.41,35.37,21.123,1.22,10,2,2,12,90,16.777,92
