target_idx,n_neighbors,neighbors_idx,method
0,8,"2,258,216,22,20,265,272,27",primary
1,6,"26,84,267,153,85,50",primary
2,10,"24,209,6,157,138,40,44,285,199,166",primary
3,13,"204,224,119,28,51,129,105,232,17,22,265,29,230",primary
4,29,"287,81,18,64,78,153,267,256,279,107,229,85,213,173,257,156,195,49,178,50,263,136,194,242,236,84,108,88,26",primary
5,19,"27,258,216,20,272,255,33,22,271,201,240,14,47,282,219,220,0,103,2",primary
6,16,"3,247,210,168,139,241,4,76,96,174,186,23,16,264,280,75",primary
7,12,"208,278,186,23,277,93,46,11,16,241,135,127",primary
8,21,"52,122,228,259,133,112,212,187,95,37,226,188,200,53,268,93,189,289,135,127,202",primary
9,13,"93,208,135,127,186,23,278,277,11,16,241,46,144",primary
10,29,"225,214,148,116,218,36,185,281,246,12,222,80,125,101,15,266,109,1,118,140,82,150,248,8,54,104,160,182,270",primary
11,34,"107,173,257,213,64,49,136,195,242,156,194,263,287,81,18,183,78,108,153,155,126,235,279,85,61,178,50,267,245,256,9,229,211,236",primary
12,10,"110,197,217,143,238,176,244,121,162,283",primary
13,19,"229,108,236,88,239,183,7,155,126,235,9,287,211,64,291,149,245,256,81",primary
14,12,"60,41,141,177,172,94,288,87,66,283,269,115",primary
15,31,"150,8,248,82,281,12,36,246,54,218,185,270,225,116,148,214,101,222,125,266,109,140,15,1,80,118,104,249,262,160,182",primary
16,34,"183,108,9,126,155,235,211,245,61,229,64,236,88,195,49,107,213,257,173,156,242,239,136,263,194,287,81,18,256,267,153,178,7,78",primary
17,31,"150,8,248,82,281,12,36,246,54,218,185,270,225,116,148,214,101,222,125,249,266,109,262,140,15,1,80,118,104,160,182",primary
18,31,"281,218,12,36,185,246,225,116,214,148,101,222,248,8,150,82,125,266,109,140,15,54,1,80,118,104,270,160,182,249,262",primary
19,22,"186,23,16,241,247,139,168,4,278,174,208,96,3,210,76,280,277,93,11,75,46,144",primary
20,10,"24,209,6,157,138,40,44,285,199,166",primary
21,5,"190,32,154,231,170",primary
22,29,"193,58,206,42,147,67,83,237,264,251,234,21,111,207,241,164,278,55,123,180,106,39,79,102,203,86,186,23,16",primary
23,12,"217,176,143,197,172,110,269,276,73,141,19,162",primary
24,20,"28,22,129,204,265,232,224,119,230,105,258,216,0,29,51,17,2,20,27,272",primary
25,14,"197,217,143,110,176,238,244,121,162,87,283,269,276,73",primary
26,19,"175,286,171,43,181,137,72,254,13,146,227,196,261,275,57,215,68,5,98",primary
27,20,"97,273,34,253,250,223,179,284,114,30,62,99,70,252,117,165,92,260,290,243",primary
28,20,"179,250,114,284,223,34,253,273,260,92,290,243,99,165,252,117,62,70,274,97",primary
29,22,"114,34,273,253,250,223,179,284,290,260,92,243,99,165,117,252,62,70,274,97,56,30",primary
