target_idx,train_idx,rank,method
0,2,0,primary
0,258,1,primary
0,216,2,primary
0,22,3,primary
0,20,4,primary
0,265,5,primary
0,272,6,primary
0,27,7,primary
1,26,0,primary
1,84,1,primary
1,267,2,primary
1,153,3,primary
1,85,4,primary
1,50,5,primary
2,24,0,primary
2,209,1,primary
2,6,2,primary
2,157,3,primary
2,138,4,primary
2,40,5,primary
2,44,6,primary
2,285,7,primary
2,199,8,primary
2,166,9,primary
3,204,0,primary
3,224,1,primary
3,119,2,primary
3,28,3,primary
3,51,4,primary
3,129,5,primary
3,105,6,primary
3,232,7,primary
3,17,8,primary
3,22,9,primary
3,265,10,primary
3,29,11,primary
3,230,12,primary
4,287,0,primary
4,81,1,primary
4,18,2,primary
4,64,3,primary
4,78,4,primary
4,153,5,primary
4,267,6,primary
4,256,7,primary
4,279,8,primary
4,107,9,primary
4,229,10,primary
4,85,11,primary
4,213,12,primary
4,173,13,primary
4,257,14,primary
4,156,15,primary
4,195,16,primary
4,49,17,primary
4,178,18,primary
4,50,19,primary
4,263,20,primary
4,136,21,primary
4,194,22,primary
4,242,23,primary
4,236,24,primary
4,84,25,primary
4,108,26,primary
4,88,27,primary
4,26,28,primary
5,27,0,primary
5,258,1,primary
5,216,2,primary
5,20,3,primary
5,272,4,primary
5,255,5,primary
5,33,6,primary
5,22,7,primary
5,271,8,primary
5,201,9,primary
5,240,10,primary
5,14,11,primary
5,47,12,primary
5,282,13,primary
5,219,14,primary
5,220,15,primary
5,0,16,primary
5,103,17,primary
5,2,18,primary
6,3,0,primary
6,247,1,primary
6,210,2,primary
6,168,3,primary
6,139,4,primary
6,241,5,primary
6,4,6,primary
6,76,7,primary
6,96,8,primary
6,174,9,primary
6,186,10,primary
6,23,11,primary
6,16,12,primary
6,264,13,primary
6,280,14,primary
6,75,15,primary
7,208,0,primary
7,278,1,primary
7,186,2,primary
7,23,3,primary
7,277,4,primary
7,93,5,primary
7,46,6,primary
7,11,7,primary
7,16,8,primary
7,241,9,primary
7,135,10,primary
7,127,11,primary
8,52,0,primary
8,122,1,primary
8,228,2,primary
8,259,3,primary
8,133,4,primary
8,112,5,primary
8,212,6,primary
8,187,7,primary
8,95,8,primary
8,37,9,primary
8,226,10,primary
8,188,11,primary
8,200,12,primary
8,53,13,primary
